Teams	CMM	WP
1	0.78036	0.818182
2	0.382573	0.365854
3	0.406084	0.418605
4	0.412713	0.409091
5	0.627733	0.644444
6	0.546417	0.545455
7	0.65431	0.681818
8	0.431034	0.418605
9	0.395065	0.395349
10	0.818746	0.853659
11	0.673974	0.681818
12	0.345717	0.333333
13	0.661784	0.674419
14	0.333678	0.272727
15	0.708712	0.714286
16	0.448656	0.44186
17	0.483578	0.5
18	0.189228	0.166667
19	0.51949	0.511628
20	0.213353	0.181818
21	0.528669	0.511628
22	0.334047	0.326087
23	0.216421	0.186047
24	0.550775	0.577778
25	0.672518	0.704545
26	0.399745	0.372093
27	0.613896	0.622222
28	0.62941	0.651163
29	0.382646	0.348837
30	0.63867	0.674419
